REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,GENDER,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
109958,2026,06,1,35,4,06,,1,1,6,1,,,2,2,14,03,12,,,,400,400,1,400,400,0,,0,0,0,,10,,7452,3,1,2,3,,,,,,,,,,,,,,,,,1,03,1,178
109959,2026,06,4,35,0,11,,2,5,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,01,,321
109960,2026,06,4,35,0,12,,1,5,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,,,,,,,,,,,,01,,282
109961,2026,06,4,11,0,11,,1,5,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,01,,66
109962,2026,06,4,48,8,10,,2,2,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,1,11,,502
109963,2026,06,3,35,0,09,,2,1,4,,1,2,2,1,10,07,34,,,,,,,,,,,,,,,,4,,,,,,20,2,1,4,09,7,2,,,,1,1,,1,,,1,11,,179
109964,2026,06,1,11,0,05,,2,1,5,1,,,3,3,01,01,04,,,,800,800,1,800,800,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,1,14,1,62
109965,2026,06,4,13,0,12,,1,1,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,11,,71
109966,2026,06,1,35,0,08,,1,1,4,1,,,2,3,04,03,13,,,,400,400,1,400,400,0,,0,0,0,,196,,9000,3,1,4,4,,,,,,,,,,,,,,,,,1,02,,180
109967,2026,06,3,13,0,01,1,1,6,1,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,4,5,2,,,,2,,1,,1,,,3,,,1,14,,111
